route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
0,SA,115538237,Union Station,0,   0  7,1316568
0,SA,115538238,Union Station,0,   0  1,1316568
0,SA,115538239,Union Station,0,   0  3,1316568
0,SA,115538240,Union Station,0,   0  2,1316570
0,SA,115538241,Union Station,0,   0  1,1316568
0,SA,115538242,Union Station,0,   0  5,1316568
0,SA,115538243,Union Station,0,   0  9,1316568
0,SA,115538244,Union Station,0,   0  4,1316568
0,SA,115538245,Union Station,0,   0  2,1316568
0,SA,115538246,Union Station,0,   0  1,1316568
0,SA,115538247,Union Station,0,   0  4,1316570
0,SA,115538248,Union Station,0,   0  7,1316568
0,SA,115538249,Union Station,0,   0  2,1316568
0,SA,115538250,Union Station,0,   0  2,1316568
0,SA,115538251,Union Station,0,   0  2,1316568
0,SA,115538252,Union Station,0,   0  6,1316568
0,SA,115538253,Union Station,0,   0  3,1316568
0,SA,115538254,Union Station,0,   0  5,1316570
0,SA,115538255,Union Station,0,   0  7,1316568
0,SA,115538256,Union Station,0,   0  4,1316568
0,SA,115538257,Union Station,0,   0  6,1316568
0,SA,115538258,Union Station,0,   0  5,1316568
0,SA,115538259,Union Station,0,   0  8,1316568
0,SA,115538260,Union Station,0,   0  6,1316568
0,SA,115538261,Union Station,0,   0  3,1316568
0,SA,115538262,Union Station,0,   0  7,1316568
0,SA,115538263,Union Station,0,   0  4,1316568
0,SA,115538264,Union Station,0,   0  1,1316568
0,SA,115538265,Union Station,0,   0  2,1316568
0,SA,115538266,Union Station,0,   0  7,1316568
0,SA,115538267,Union Station,0,   0  2,1316568
0,SA,115538268,Union Station,0,   0  5,1316568
0,SA,115538269,Union Station,0,   0  5,1316570
0,SA,115538270,Union Station,0,   0  6,1316568
0,SA,115538271,Union Station,0,   0  5,1316568
0,SA,115538272,Union Station,0,   0  9,1316568
0,SA,115538273,Union Station,0,   0  7,1316568
0,SA,115538274,Union Station,0,   0  3,1316570
0,SA,115538275,Union Station,0,   0  3,1316568
0,SA,115538276,Union Station,0,   0  6,1316568
0,SA,115538277,Union Station,0,   0  8,1316568
0,SA,115538278,Union Station,0,   0  3,1316568
0,SA,115538279,Union Station,0,   0  8,1316568
0,SA,115538280,Union Station,0,   0  7,1316568
0,SA,115538281,Union Station,0,   0  4,1316568
0,SA,115538282,Union Station,0,   0  3,1316568
0,SA,115538283,Union Station,0,   0  1,1316568
0,SA,115538284,Union Station,0,   0  8,1316568
0,SA,115538285,Union Station,0,   0  9,1316568
0,SA,115538286,Union Station,0,   0  8,1316568
0,SA,115538287,Union Station,0,   0  1,1316568
0,SA,115538288,Union Station,0,   0  5,1316568
0,SA,115538289,Union Station,0,   0  6,1316568
0,SA,115538290,Union Station,0,  15 15,1316568
0,SA,115538291,Union Station,0,   0  5,1316568
0,SA,115538292,Union Station,0,   0  5,1316568
0,SA,115538293,Union Station,0,   0  1,1316568
0,SA,115538294,Union Station,0,   0  8,1316568
0,SA,115538295,Union Station,0,   0  9,1316568
0,SA,115538296,Union Station,0,   0  4,1316568
0,SA,115538297,Union Station,0,   0  8,1316570
0,SA,115538298,Union Station,0,   0  1,1316570
0,SA,115538299,Union Station,0,   0  2,1316568
0,SA,115538300,Union Station,0,   0  8,1316568
0,SA,115538301,Union Station,0,   0  4,1316568
0,SA,115538302,Union Station,0,   0  4,1316568
0,SA,115538303,Union Station,0,   0  9,1316568
0,SA,115538304,Union Station,0,   0  2,1316568
0,SA,115538305,Union Station,0,   0  3,1316568
0,SA,115538306,Union Station,0,   0  1,1316568
0,SA,115538307,Union Station,0,   0  9,1316568
0,SA,115538308,Union Station,0,   0  3,1316570
0,SA,115538309,Union Station,0,   0  1,1316570
0,SA,115538310,Union Station,0,   0  4,1316568
0,SA,115538311,Union Station,0,   0  7,1316568
0,SA,115538312,Englewood Station,1,   0  4,1316572
0,SA,115538313,Englewood Station,1,   0  5,1316572
0,SA,115538314,Englewood Station,1,   0  8,1316572
0,SA,115538315,Englewood Station,1,   0  9,1316572
0,SA,115538316,Englewood Station,1,   0  1,1316572
0,SA,115538317,Englewood Station,1,   0  7,1316572
0,SA,115538318,Englewood Station,1,   0  3,1316572
0,SA,115538319,Englewood Station,1,   0  2,1316572
0,SA,115538320,Englewood Station,1,   0  1,1316572
0,SA,115538321,Englewood Station,1,   0  2,1316572
0,SA,115538322,Englewood Station,1,   0  6,1316572
0,SA,115538323,Englewood Station,1,   0  2,1316572
0,SA,115538324,Englewood Station,1,   0  7,1316572
0,SA,115538325,Englewood Station,1,   0  1,1316572
0,SA,115538326,Englewood Station,1,   0  3,1316572
0,SA,115538327,Englewood Station,1,   0  6,1316572
0,SA,115538328,Englewood Station,1,   0  7,1316572
0,SA,115538329,Englewood Station,1,   0  3,1316572
0,SA,115538330,Englewood Station,1,   0  7,1316572
0,SA,115538331,Englewood Station,1,   0  5,1316572
0,SA,115538332,Englewood Station,1,   0  1,1316571
0,SA,115538333,Englewood Station,1,   0  5,1316572
0,SA,115538334,Englewood Station,1,   0  4,1316572
0,SA,115538335,Englewood Station,1,   0  9,1316572
0,SA,115538336,Englewood Station,1,   0  1,1316572
